Station Name,Datetime,Wind_Dir_Deg,Wind_Max_mph,Air_Temp_Avg
Black Diamond,2021-05-05 20:00:00,266,21.0,60.0
Black Diamond,2021-05-05 21:00:00,266,24.0,65.0
Black Diamond,2021-05-05 22:00:00,269,22.0,63.0
Black Diamond,2021-05-05 23:00:00,255,21.0,62.0
Black Diamond,2021-05-05 00:00:00,261,23.0,59.0
Black Diamond,2021-05-04 01:00:00,279,18.0,70.0
Black Diamond,2021-05-04 02:00:00,276,19.0,68.0
Black Diamond,2021-05-04 03:00:00,286,16.0,67.0
Black Diamond,2021-05-04 04:00:00,275,17.0,65.0
Black Diamond,2021-05-04 05:00:00,305,19.0,67.0
Black Diamond,2021-05-04 06:00:00,327,15.0,69.0
Black Diamond,2021-05-04 07:00:00,328,17.0,71.0
Black Diamond,2021-05-04 08:00:00,341,14.0,73.0
Black Diamond,2021-05-04 09:00:00,345,13.0,76.0
Black Diamond,2021-05-04 10:00:00,23,12.0,79.0
Black Diamond,2021-05-04 11:00:00,34,13.0,80.0
Black Diamond,2021-05-04 12:00:00,339,10.0,84.0
Black Diamond,2021-05-04 13:00:00,318,11.0,85.0
Black Diamond,2021-05-04 14:00:00,307,13.0,84.0
Black Diamond,2021-05-04 15:00:00,289,20.0,82.0
Black Diamond,2021-05-04 16:00:00,288,20.0,82.0
Black Diamond,2021-05-04 17:00:00,281,21.0,80.0
Black Diamond,2021-05-04 18:00:00,275,20.0,77.0
Black Diamond,2021-05-04 19:00:00,264,14.0,71.0
Black Diamond,2021-05-04 20:00:00,250,13.0,71.0
Black Diamond,2021-05-04 21:00:00,254,12.0,71.0
Black Diamond,2021-05-04 22:00:00,254,12.0,70.0
Black Diamond,2021-05-04 23:00:00,253,12.0,72.0
Black Diamond,2021-05-04 00:00:00,242,10.0,72.0
Black Diamond,2021-05-03 01:00:00,284,21.0,62.0
Black Diamond,2021-05-03 02:00:00,291,19.0,62.0
Black Diamond,2021-05-03 03:00:00,297,20.0,62.0
Black Diamond,2021-05-03 04:00:00,317,17.0,62.0
Black Diamond,2021-05-03 05:00:00,325,20.0,62.0
Black Diamond,2021-05-03 06:00:00,330,22.0,63.0
Black Diamond,2021-05-03 07:00:00,333,15.0,66.0
Black Diamond,2021-05-03 08:00:00,333,18.0,69.0
Black Diamond,2021-05-03 09:00:00,327,18.0,71.0
Black Diamond,2021-05-03 10:00:00,8,20.0,77.0
Black Diamond,2021-05-03 11:00:00,7,20.0,80.0
Black Diamond,2021-05-03 12:00:00,316,18.0,79.0
Black Diamond,2021-05-03 13:00:00,313,21.0,80.0
Black Diamond,2021-05-03 14:00:00,318,19.0,84.0
Black Diamond,2021-05-03 15:00:00,314,20.0,84.0
Black Diamond,2021-05-03 16:00:00,298,23.0,81.0
Black Diamond,2021-05-03 17:00:00,277,25.0,78.0
Black Diamond,2021-05-03 18:00:00,275,25.0,75.0
Black Diamond,2021-05-03 19:00:00,273,23.0,72.0
Black Diamond,2021-05-03 20:00:00,249,17.0,71.0
Black Diamond,2021-05-03 21:00:00,256,13.0,70.0
Black Diamond,2021-05-03 22:00:00,254,14.0,68.0
Black Diamond,2021-05-03 23:00:00,260,20.0,67.0
Black Diamond,2021-05-03 00:00:00,262,22.0,67.0
Black Diamond,2021-05-02 01:00:00,256,25.0,51.0
Black Diamond,2021-05-02 02:00:00,259,21.0,51.0
Black Diamond,2021-05-02 03:00:00,260,21.0,52.0
Black Diamond,2021-05-02 04:00:00,262,22.0,51.0
Black Diamond,2021-05-02 05:00:00,258,23.0,51.0
Black Diamond,2021-05-02 06:00:00,262,21.0,52.0
Black Diamond,2021-05-02 07:00:00,264,23.0,54.0
Black Diamond,2021-05-02 08:00:00,272,26.0,57.0
Black Diamond,2021-05-02 09:00:00,275,23.0,60.0
Black Diamond,2021-05-02 10:00:00,274,23.0,64.0
Black Diamond,2021-05-02 11:00:00,286,22.0,69.0
Black Diamond,2021-05-02 12:00:00,295,23.0,73.0
Black Diamond,2021-05-02 13:00:00,299,22.0,74.0
Black Diamond,2021-05-02 14:00:00,300,24.0,75.0
Black Diamond,2021-05-02 15:00:00,300,24.0,75.0
Black Diamond,2021-05-02 16:00:00,282,27.0,73.0
Black Diamond,2021-05-02 17:00:00,277,31.0,71.0
Black Diamond,2021-05-02 18:00:00,275,28.0,68.0
Black Diamond,2021-05-02 19:00:00,269,26.0,64.0
